CodProd,Descrip,CodInst,Activo,Descrip2,Precio_1
HAMB,Carne Hamburguesa QUEEN 5X40gr x und,Productos de Cerdo,Y,,16.25
MA5000,Mantequilla GRANEL Con Sal 5 kg Bolsa(e),Industriales,Y,,15.0
MQMOZZ,Q. Mozzarella Mis Quesos (e),Quesos Frescos,Y,,4.56
P2732,Frica Mango Pet 12x500ml,Bebidas UHT,Y,,0.46
PVA001,Jamon de Pierna 98% Alimex,Jamoneria,Y,Jamon de pierna,5.23
PVA004,Espalda Cocida 1 Kg Alimex,Jamoneria,Y,Espalda cocida 1 Kg,5.49
PVAH0005,Chuleta Ahumada Alimex Rebanada 10kg,Ahumados,Y,,7.41
PVAH005,Chuleta Ahumada Alimex,Ahumados,Y,Chuleta Ahumada,7.6
PVAH007,Tocineta Ahumada Sin Cuero Alimex,Ahumados,Y,Tocineta Ahumada,8.2
PVAS0007,Jugo de Naranja UHT 1 Lt el Tunal X und,Bebidas UHT,Y,Jugo de Naranja,0.98
PVAS001,Leche Completa Purisima UHT 1 (e),Leches UHT,Y,Leche Completa UHT 1 L,1.0
PVAS002,Leche Descremada Purisima UHT 1L (e),Leches UHT,Y,Leche Descrema UHT 1L,0.97
PVAS004,Leche Desc Deslact Purisima UHT 1L (e),Leches UHT,Y,Leche Descremada Deslactosada UHT1L,0.95
PVAS010,Nectar Manzana UHT 1Lt El Tunal x Unidad,Bebidas UHT,Y,Nectar de Manzana,0.99
PVAS013,Nectar Pera UHT 1Lt El Tunal X unidad,Bebidas UHT,Y,Nectar Pera 1 Lt,0.99
PVAS016,Nectar Durazno UHT 1Lt El Tunal X unidad,Bebidas UHT,Y,Nectar Durazno UHT 1Lt,0.99
PVAS019,Te Limon UHT 1Lt El Tunal X unidad,Bebidas UHT,Y,Te limon UHT 1Lt,0.57
PVAS026,Te Frutos Rojos UHT 1Lt El Tunal X unida,Bebidas UHT,Y,Te Frutos Rojos UHT 1Lr,0.57
PVAS21,Te Durazno UHT 1Lt El Tunal X unidad,Bebidas UHT,Y,Te Durazno UHT 1LT,0.56
PVAV038,Huevos Tipo Caja El TUNAL,Huevos,Y,Huevos tipo  Caja X 12 cartones,45.95
PVFI001,Fiambre de Espalda Cuadrado Alimex,Bolognas Y Fiambres,Y,Fiambre de Espalda,3.94
PVFI002,Fiambre de Espalda 1Kgr Alimex,Bolognas Y Fiambres,Y,,4.3
PVFI003,Fiambre de Carne 1Kg Alimex,Bolognas Y Fiambres,Y,Fiambre de Carne 1kg Alimex,4.23
PVFI005,Fiambre de Carne Cilindrico Alimex,Bolognas Y Fiambres,Y,Fiambre de Carne,3.94
PVJA003,Espalda ahumada tipo Visking Alimex,Ahumados,Y,Espalda ahumada Visking,4.87
PVJA007,Espalda ahumada visking Delgado Alimex,Ahumados,Y,,3.81
