CodProd,Descrip,CodInst,Activo,Descrip2,Precio_1
3769,Chicha el Chichero  UHT 1lt,Bebidas UHT,Y,LACTEOS,2.5
3770,Avena Parmalat UHT 1LT,Bebidas UHT,Y,UHT,2.92
3786,RIKOMALT chocolate 1lt UHT Parmalat,Bebidas UHT,Y,UHT,2.81
436,Industrial Chocolate Leche TAB 1kg,Chocolates y Golosinas,Y,CHOCOLATE,9.3
437,Indust Chocolate Bitter 1kg St. Moritz,Chocolates y Golosinas,Y,CHOCOLATE,9.84
4400000005,Chocolate P/Taza 100Gr x 6 und St Moritz,Chocolates y Golosinas,Y,CHOCOLATE,6.7
6101,Q. Amarillo Gouda Panela Quenaca barra,Quesos Amarillos,Y,AMARILLO,3.12
6101,Pollo Especial De Primera Del Corral,Productos de Pollo,Y,CONGELADO,3.12
6224,CUARTO TRASERO (GRANEL ),Productos de Pollo,Y,MUSLO,3.59
6232,Filete De Pechuga (Granel),Productos de Pollo,Y,CONGELADO,4.49
6339,Q. Gouda Bola Quenaca,Quesos Amarillos,Y,AMARILLO,8.61
660.315,Bologna Normal 1KG del Corral X unidad,Bolognas Y Fiambres,Y,BOLOGNA,4.73
660311,Bologna Normal 500gr del Corral X unidad,Bolognas Y Fiambres,Y,Bologna normal 500grs,2.46
660313,Bologna C/Pimenton P/Rebanar del Corral,Bolognas Y Fiambres,Y,Bologna C/pimenton P/Rebanar 2.5kg,4.72
660318,Bologna Normal P/R Del Corral,Bolognas Y Fiambres,Y,BOLOGNA,4.49
660433,Pechuga de Pollo Del Corral 4kg,Pavos y Pollos,Y,EMBUTIDO,5.6
6609,Mortadela de pollo del Corral  1kg (e),Mortadelas,Y,MORTADELA,2.61
660918,Mortadela pollo Del Corral 500gr (e),Mortadelas,Y,Mortadela pollo,1.17
6610,Mortadela de Pollo Lagunita 1k (e),Mortadelas,Y,MORTADELA,2.61
670213,Nuggets Institucional X Kgrs  del corral,Productos de Pollo,Y,CONGELADOS,4.51
77014,Fiambre de espalda Fiesta,Bolognas Y Fiambres,Y,EMBUTIDO,3.05
798,Te con Durazno 500ml Parmalat,Bebidas UHT,Y,Te con Durazno,0.63
844,Jugo Santal light Pera 1.5L,Bebidas UHT,Y,NECTAR,2.2
846,Jugo Santal Light manzana 1.5L,Bebidas UHT,Y,NECTAR,2.2
868,Jugo Santal light Durazno 1.5L,Bebidas UHT,Y,NECTAR,2.2
916,Santal Active Naranja Vidrio 500Ml,Bebidas UHT,Y,NECTAR,1.06
986,Turr Mixto Leche Tabl 100Gr St Moritz,Chocolates y Golosinas,Y,CHOCOLATE,1.62
987,Turr Mxto Blanco Tabl 100Gr St Moritz,Chocolates y Golosinas,Y,CHOCOLATE,1.62
ARICH0001,Jam Cocido Pierna Arichuna Superior,Jamoneria,Y,EMBUTIDO,6.92
ARICH0002,Espalda Cocida Arichuna,Jamoneria,Y,EMBUTIDO,5.55
ARICH0003,Espalda Ahumada Tipo Shoulder Arichuna,Ahumados,Y,EMBUTIDO,6.35
ARICH0004,Jam Ahumado Tender Arichuna,Ahumados,Y,EMBUTIDO,8.94
ARICH0005,Fiambre De Carne Arichuna,Bolognas Y Fiambres,Y,,3.04
